Crop,Min_Moisture,Max_Moisture
Wheat,20,40
Rice,50,80
Corn,30,60
Barley,25,55
Sorghum,35,65
Soybean,30,60
Sugarcane,60,85
Potato,35,65
Tomato,40,70
Cabbage,30,60
Onion,35,65
Garlic,40,70
Pea,30,60
Carrot,35,65
Cucumber,45,75
Chili,40,70
Spinach,25,55
Okra,30,60
Brinjal,40,70
Cotton,25,55
Sunflower,30,60
Groundnut,25,55
Lentil,25,55
Mustard,20,50
Maize,30,60
Bajra,35,65
Jowar,40,70
Cauliflower,30,60
Radish,30,60
Turnip,25,55
Pumpkin,35,65
Bottle Gourd,30,60
Bitter Gourd,35,65
Sweet Potato,40,70
Yam,40,70
Papaya,50,75
Banana,55,80
Mango,45,70
Pineapple,60,85
Strawberry,45,70
Apple,50,75
Grapes,55,80
Orange,40,70
Lemon,45,75
Pomegranate,40,70
Guava,45,75
Tea,60,85
Coffee,55,80
Tobacco,30,60
Flax,35,65
